account_number,transaction_datetime,transaction_amount,post_date,merchant_number,merchant_description,merchant_info,merchant_state,merchant_category_code,transaction_number
38829,02022021 11:29:00,14,2042021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,47
38829,03102021 11:37:09,14,3122021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,99
38829,03082021 11:51:59,14,3092021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,96
38829,02222021 12:11:17,14,2232021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,67
38829,03022021 13:17:29,14,3042021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,83
38829,03312021 10:37:34,14,4022021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,128
38829,02252021 11:41:58,14,2272021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,71
38829,03182021 10:33:56,14,3202021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,112
38829,04082021 10:07:10,14,4102021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,143
38829,03032021 11:57:36,14,3052021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,85
38829,03262021 10:26:24,14,3292021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,121
38829,03152021 10:45:09,14,3162021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,108
38829,03012021 11:49:59,14,3022021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,81
38829,02232021 11:41:02,14,2252021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,68
11111,02092021 11:15:52,14,2112021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Texas,5812,2
54999,02092021 11:15:52,14,2112021,225000000000,CHAPULTEPEC LUPITA,KULPSVILLE,Pennsylvania,5812,2
33555,02092021 11:15:52,14,2112021,225000000000,CHAPULTEPEC LUPITA,MIDDLE ISLAND,New York,5812,2
33333,02092021 11:15:52,14,2112021,225000000000,CHAPULTEPEC LUPITA,NEWARK,New Jersey,5812,2
22222,02092021 11:15:52,14,2112021,225000000000,CHAPULTEPEC LUPITA,SAN DIEGO,California,5812,2
54722,02092021 11:15:52,14,2112021,225000000000,CHAPULTEPEC LUPITA,SAN JOSE,California,5812,2
54891,02092021 11:15:52,14,2112021,225000000000,CHAPULTEPEC LUPITA,SIOUX FALLS,South Dakota,5812,2
38829,03232021 10:12:57,15,3252021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,117
38829,02082021 11:39:48,15.5,2092021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,54
38829,02102021 11:47:17,16,2122021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,57
38829,01252021 12:51:43,16,1262021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,31
38829,01122021 11:44:01,16.01,1142021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,9
38829,02112021 11:20:25,16.5,2132021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,59
38829,02012021 11:29:18,16.5,2022021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,44
38829,01282021 12:35:35,16.5,1302021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,40
38829,01192021 11:56:43,16.5,1212021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,17
38829,02032021 10:47:23,16.5,2052021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,48
38829,01222021 12:48:30,17,1252021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,26
38829,02052021 11:20:00,17,2082021,225000000000,CHAPULTEPEC LUPITA,HOUSTON,Ohio,5812,50
54566,02092021 11:15:52,7.9,2112021,225000000000,Starbucks,CHICAGO,Illinois,5812,2
18054,02082021 11:08:24,15.35,2092021,226000000000,THE HALAL GUYS SHEPHER,713-681-5465,South Dakota,5812,18
19444,04032021 17:35:48,20,4052021,226000000000,INVESTORS BUSINESS DAI,800-831-2525,New York,5968,3
18054,02012021 18:36:55,41.14,2022021,227000000000,HOUSTON GARDEN CTRS 07,KATY,South Dakota,5261,14
28440,04042021 22:22:57,11.03,4062021,227000000000,DEL TACO #275      Q16,AMERICAN FORK,Illinois,5814,9
16841,03312021 10:23:45,90,4012021,227000000000,FINDLAY TOYOTA,HENDERSON,New York,5511,2
37385,02272021 10:49:12,73.25,3012021,235000000000,TRAVIS VEHREG,512-854-4286,Pennsylvania,9399,1
37385,02272021 10:49:13,2,3012021,235000000000,TX.GOV*SERVICEFEE-DIR,877-452-9060,Pennsylvania,9399,2
17079,02162021 16:17:43,16.36,2172021,249000000000,JOANN STORES #2138,FREMONT,New Jersey,5949,9
17079,02162021 19:22:59,4.37,2172021,249000000000,JOANN STORES*JOANN.COM,888-739-4120,New Jersey,5949,11
14215,04042021 14:09:32,5.41,4062021,266000000000,WENDY'S,MCKINNEY,Idaho,5814,1
31094,01172021 07:42:02,19.72,1182021,266000000000,SHIPLEY DONUTS,PEARLAND,New Jersey,5814,29
31094,02042021 06:38:28,5.13,2052021,266000000000,SHIPLEY DONUTS,PEARLAND,New Jersey,5814,54
18054,01262021 07:10:19,7.05,1272021,266000000000,KOLACHE FACTORY 104,KATY,South Dakota,5814,11
18054,03022021 07:01:43,8.25,3032021,266000000000,KOLACHE FACTORY 104,KATY,South Dakota,5814,21
20759,02052021 12:21:48,57.35,2082021,266000000000,AL BIERNAT'S,DALLAS,New Mexico,5812,22
20759,03202021 15:44:01,124.59,3222021,266000000000,AL BIERNAT'S,DALLAS,New Mexico,5812,57
20759,03012021 17:17:04,145.69,3032021,266000000000,AL BIERNAT'S,DALLAS,New Mexico,5812,30
24616,04042021 15:22:53,179.92,4062021,266000000000,AL BIERNAT'S,DALLAS,Colorado,5812,5
20759,03152021 16:35:02,216.73,3172021,266000000000,AL BIERNAT'S,DALLAS,New Mexico,5812,47
20759,03142021 15:19:15,222.94,3152021,266000000000,AL BIERNAT'S,DALLAS,New Mexico,5812,44
20759,02282021 16:09:58,26.37,3012021,266000000000,AL BIERNAT'S,DALLAS,New Mexico,5812,29
20759,03172021 16:31:36,297.06,3182021,266000000000,AL BIERNAT'S,DALLAS,New Mexico,5812,51
20759,02272021 16:20:32,37.74,3012021,266000000000,AL BIERNAT'S,DALLAS,New Mexico,5812,28
20759,01282021 17:12:44,82.23,1302021,266000000000,AL BIERNAT'S,DALLAS,New Mexico,5812,1
20759,03072021 16:52:28,83.58,3082021,266000000000,AL BIERNAT'S,DALLAS,New Mexico,5812,39
14829,03112021 17:11:25,20.58,3132021,266000000000,JUICE GENERATION 5,NEW YORK,Texas,5814,19
25770,03302021 15:00:09,119.4,4012021,266000000000,BELGON INCORPORATED,CARLSBAD,New Jersey,5812,50
27694,04012021 01:30:50,342.99,4022021,267000000000,BAPS SWAMINARAYAN SANS,281-969-1730,Texas,8398,2
30772,03312021 12:06:26,17.5,4022021,267000000000,PAR GROCERY LIQUOR,SAN DIEGO,New Jersey,5411,8
33717,02102021 15:54:07,1.89,2112021,267000000000,SUNOCO,WESTERVILLE,California,5541,6
26995,04012021 09:03:26,17.39,4022021,274000000000,USPS.COM*,IUKA,New York,9402,8
20759,02272021 09:49:48,159.2,3012021,276000000000,CPE SOLUTIONS LLC,813-662-3592,New Mexico,8299,26
20759,03232021 07:20:16,173.21,3252021,279000000000,COLEHAAN.COM,800-695-8945,New Mexico,5964,62
19505,04052021 18:27:58,193.52,4062021,295000000000,RADIOLOGY CONSULTANTS,OKLAHOMA CITY,Illinois,8011,4
24029,03122021 12:01:08,14.62,3132021,300000000000,THE UPS STORE,MCKINNEY,California,7399,5
31593,03212021 14:00:19,20,3232021,313000000000,ROMANOS 1088,THE WOODLANDS,Kansas,5812,3
31593,04032021 11:51:47,30.43,4052021,313000000000,ROMANOS 1088,THE WOODLANDS,Kansas,5812,13
31593,03282021 13:28:20,58.7,3302021,313000000000,ROMANOS 1088,THE WOODLANDS,Kansas,5812,8
20759,01292021 11:08:01,16.09,1302021,313000000000,FLYING FISH,DALLAS,New Mexico,5812,3
20759,03182021 10:24:00,16.59,3192021,313000000000,FLYING FISH,DALLAS,New Mexico,5812,52
22965,04062021 13:52:25,73.87,4072021,313000000000,BLUEMERCURY,MANHASSET,New York,5977,8
24029,03112021 17:04:09,128.6,3132021,313000000000,7 FOR ALL MANKIND,LOS ANGELES,California,5691,4
26607,03052021 18:05:27,38.79,3062021,313000000000,BLUEMERCURY #172171,NEWPORT BEACH,Michigan,5977,46
30483,03182021 10:06:31,2.65,3192021,313000000000,MARKET@WORK,RENTON,South Carolina,5814,2
30483,03242021 14:17:11,2.76,3252021,313000000000,MARKET@WORK,RENTON,South Carolina,5814,5
20759,03142021 12:03:15,177.92,3152021,313000000000,MIRIAM COCINA LATINA,DALLAS,New Mexico,5812,43
31452,03202021 19:20:02,10.49,3222021,323000000000,COLDSTONE,PEARLAND,Tennessee,5814,47
38915,04092021 02:25:49,152.56,4102021,328000000000,AT&T*BILL PAYMENT,800-331-0500,California,4814,1
24029,03132021 12:27:21,134.18,3142021,328000000000,ACADEMY SPORTS,MC KINNEY,California,5941,7
24029,03122021 13:50:17,15.13,3132021,328000000000,ACADEMY SPORTS,MC KINNEY,California,5941,6
33717,03132021 11:09:17,96.51,3142021,334000000000,HARBOR FREIGHT TOOLS 5,MARION,California,5251,73
20669,02052021 12:16:24,8.76,2062021,334000000000,POPEYES,HOUSTON,Louisiana,5814,1
28226,03232021 17:02:13,23.8,3242021,334000000000,POPEYES,HOUSTON,Pennsylvania,5814,63
19855,04052021 12:34:23,57.17,4062021,334000000000,HABOR FREIGHT TOOLS313,WESLACO,New York,5251,1
24029,04062021 12:59:49,32.96,4072021,334000000000,HUNGRY PLATTERS,PROSPER,California,5812,14
26669,04042021 17:07:24,12.3,4062021,335000000000,TACO CABANA,IRVING,Ohio,5814,11
32977,04032021 18:57:45,58.41,4052021,335000000000,CHILI'S NORTHRIDGE,NORTHRIDGE,Texas,5812,1
31452,02222021 19:14:13,14.06,2232021,335000000000,CHILI'S NASA,WEBSTER,Tennessee,5812,24
36717,04072021 14:20:05,10.79,4092021,335000000000,RAISING CANE'S #188,PEARLAND,Illinois,5814,44
36717,01272021 10:35:18,16.02,1292021,335000000000,RAISING CANE'S #188,PEARLAND,Illinois,5814,3
19485,01142021 14:55:13,114.14,1162021,335000000000,HEB CENTRAL MARKET,800-987-4438,California,5411,2
19485,03192021 16:45:11,117.51,3222021,335000000000,HEB CENTRAL MARKET,800-987-4438,California,5411,22
19485,02012021 09:34:04,131.33,2022021,335000000000,HEB CENTRAL MARKET,800-987-4438,California,5411,14
19485,02252021 08:28:31,157.24,2272021,335000000000,HEB CENTRAL MARKET,800-987-4438,California,5411,18
19485,04012021 22:23:15,162.51,4052021,335000000000,HEB CENTRAL MARKET,800-987-4438,California,5411,24
19485,02092021 10:01:47,82.01,2102021,335000000000,HEB CENTRAL MARKET,800-987-4438,California,5411,15
19485,03102021 10:08:00,90.4,3112021,335000000000,HEB CENTRAL MARKET,800-987-4438,California,5411,19
23991,03272021 07:38:11,30.13,3292021,335000000000,POPEYES,LOUISVILLE,California,5814,2
38256,04012021 15:34:04,15.43,4062021,335000000000,DAIRY QUEEN,CHANDLER,Ohio,5814,1
20908,04042021 16:13:04,24.98,4062021,335000000000,HARD ROCK ATLANTA R,ATLANTA,New Jersey,5812,10
37226,01142021 11:10:07,12.29,1152021,335000000000,PANERA BREAD,MESA,New York,5812,8
37226,01142021 15:33:38,2.8,1152021,335000000000,PANERA BREAD,MESA,New York,5812,11
27486,04042021 12:08:57,8.6,4052021,335000000000,MOE'S ONLINE,770-969-8459,Oregon,5811,11
25643,01222021 14:20:05,9.33,1252021,335000000000,PIZZA HUT,210-408-2441,Illinois,5812,31
36717,04082021 16:25:41,26.88,4102021,335000000000,PIZZA HUT,210-408-2441,Illinois,5812,46
25643,01232021 18:33:01,12.99,1252021,335000000000,PIZZA HUT,210-408-2441,Illinois,5812,33
25643,03102021 19:41:39,20.73,3112021,341000000000,JASON'S DELI,PEARLAND,Illinois,5812,57
25643,02252021 12:12:37,11.77,2262021,341000000000,JASON'S DELI,CHICAGO,Illinois,5812,47
25643,03302021 13:03:08,11.89,3312021,341000000000,JASON'S DELI,CHICAGO,Illinois,5812,63
25643,03092021 13:38:22,11.89,3102021,341000000000,JASON'S DELI,CHICAGO,Illinois,5812,54
25770,03182021 16:43:30,84.07,3192021,341000000000,GLOBAL BIKES,PHOENIX,New Jersey,5940,1
30881,04062021 10:24:48,9,4072021,341000000000,GREAT AMERICAN HERO,DALLAS,New Jersey,5814,20
36717,02182021 11:04:36,41.93,2202021,341000000000,JLB EATERY,FRIENDSWOOD,Illinois,5814,15
33452,04072021 18:05:00,15.06,4082021,345000000000,CHIPOTLE,CHULA VISTA,New Jersey,5814,12
18393,04082021 12:53:36,15.7,4092021,345000000000,CHIPOTLE,HOUSTON,Alaska,5814,20
27486,03312021 07:18:51,10.54,4012021,345000000000,CHIPOTLE,180-024-4768,Oregon,5814,3
31815,04092021 17:23:51,11.93,4102021,345000000000,CHIPOTLE,180-024-4768,North Carolina,5814,14
18054,03262021 16:31:57,12.45,3272021,345000000000,CHIPOTLE,180-024-4768,South Dakota,5814,39
26045,04092021 15:33:07,15.17,4102021,345000000000,CHIPOTLE,180-024-4768,Hawaii,5814,7
34882,04052021 08:45:46,8.75,4062021,345000000000,CHIPOTLE,180-024-4768,California,5814,6
32628,01142021 11:02:00,9.09,1152021,345000000000,CHIPOTLE,180-024-4768,California,5814,19
32628,01042021 11:29:34,9.09,1052021,345000000000,CHIPOTLE,180-024-4768,California,5814,3
32628,01072021 11:51:13,9.09,1082021,345000000000,CHIPOTLE,180-024-4768,California,5814,11
31815,03302021 11:31:42,9.45,3312021,345000000000,CHIPOTLE,180-024-4768,North Carolina,5814,1
33717,02092021 15:29:19,19.65,2102021,345000000000,CHIPOTLE,MANSFIELD,California,5814,4
17079,02182021 13:03:08,29.12,2192021,345000000000,CHIPOTLE,FREMONT,New Jersey,5814,13
20565,03312021 09:44:59,7.84,4022021,345000000000,EXXON SHADE   10276947,SPRING,Wisconsin,5814,8
20565,03172021 07:01:10,3.41,3192021,345000000000,W2 SPARK      18285171,SPRING,Wisconsin,5814,1
28440,04062021 16:51:38,9.84,4072021,345000000000,KFC/AW #521,AMERICAN FORK,Illinois,5814,13
28440,03282021 17:58:34,9.84,3292021,345000000000,KFC/AW #521,AMERICAN FORK,Illinois,5814,1
31488,03192021 16:13:11,21.8,3222021,345000000000,NYC TAXI 1246 12460010,LONG ISLAND CITY,Texas,4121,5
20908,04012021 19:41:24,3.5,4032021,345000000000,MARTA TVM     00000018,ATLANTA,New Jersey,4111,6
20908,04042021 16:19:31,3.5,4062021,345000000000,MARTA TVM     00000018,ATLANTA,New Jersey,4111,11
21455,04082021 10:21:17,3.5,4092021,345000000000,NJT PABT          0916,NEW YORK,Pennsylvania,4111,8
18393,01282021 11:44:07,11.85,1292021,346000000000,CHIPOTLE,HOUSTON,Alaska,5814,8
18393,03042021 14:17:41,7.85,3052021,346000000000,CHIPOTLE,HOUSTON,Alaska,5814,14
33717,03072021 12:01:50,3.95,3082021,346000000000,CHIPOTLE,MANSFIELD,California,5814,58
37226,02122021 16:59:37,2.92,2132021,346000000000,CHIPOTLE,SCOTTSDALE,New York,5814,43
25770,03272021 11:48:34,556.45,3292021,346000000000,ENTERPRISE RENT-A-CAR,PHOENIX,New Jersey,3405,31
26607,01232021 17:34:07,48.99,1252021,346000000000,STAPLES,COSTA MESA,Michigan,5943,12
26607,01242021 15:06:53,74.84,1252021,346000000000,STAPLES,COSTA MESA,Michigan,5943,14
37632,01312021 12:44:57,194.84,2012021,346000000000,BESTBUYCOM806419403864,888-BESTBUY,Maryland,5732,2
13907,04062021 19:12:21,83.92,4072021,346000000000,PACIFIC DIAGNOSTIC LAB,866-809-9048,New Jersey,8071,1
37466,12292020 08:48:51,1.95,12302020,346000000000,FEDEX OFFIC21100021113,HOUSTON,Ohio,7338,171
20565,03172021 10:58:40,7.2,3192021,346000000000,EM CHICK FIL A11443090,SPRING,Wisconsin,5814,2
15482,01302021 11:26:05,237.07,2022021,350000000000,WAL-MART,800-966-6546,Kansas,5310,7
27486,03312021 06:27:48,44.66,4022021,350000000000,WAL-MART,800-966-6546,Oregon,5310,2
26603,02102021 12:50:20,10.07,2112021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,3
26603,03012021 13:01:43,10.36,3022021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,12
26603,04082021 11:48:07,10.78,4102021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,46
26603,02052021 13:05:08,10.78,2062021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,1
26603,03292021 12:42:53,10.78,3302021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,36
26603,02192021 13:30:07,11.4,2202021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,11
26603,04022021 12:22:48,11.4,4052021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,40
26603,03182021 12:25:00,11.4,3192021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,29
26603,03092021 13:42:13,11.4,3102021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,16
26603,03122021 13:03:30,14.06,3152021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,20
26603,03032021 12:41:35,14.37,3042021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,14
26603,03262021 12:33:49,14.97,3292021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,34
26603,03162021 12:04:52,14.97,3172021,351000000000,UNA MAS MEX GRILL,SUNNYVALE,New York,5812,26
33717,03032021 21:11:17,127.32,3042021,356000000000,EXTREMETERRAIN.COM,877-870-8556,California,5533,49
33717,02082021 09:53:19,166,2092021,356000000000,EXTREMETERRAIN.COM,877-870-8556,California,5533,1
33717,02162021 07:24:58,522.14,2242021,356000000000,EXTREMETERRAIN.COM,877-870-8556,California,5533,15
33717,03032021 21:11:21,522.14,3042021,356000000000,EXTREMETERRAIN.COM,877-870-8556,California,5533,50
31094,01082021 10:29:24,15.38,1112021,367000000000,PASHA RESTAURANT,HOUSTON,New Jersey,5812,7
37466,01082021 10:28:50,15.98,1112021,367000000000,PASHA RESTAURANT,HOUSTON,Ohio,5812,11
26995,04062021 12:59:48,6.97,4072021,367000000000,AUNTIE ANNE'S,METAIRIE,New York,5814,13
20908,03292021 19:50:43,64.8,3312021,372000000000,APPLEBEES     98488380,HODGKINS,New Jersey,5812,2
20908,04092021 14:09:25,172.81,4102021,372000000000,AMERICAN,800-433-7300,New Jersey,3001,13
33717,03132021 11:16:04,4.89,3152021,372000000000,KFC G135647,MARION,California,5814,74
32628,03242021 13:13:23,243.54,3262021,372000000000,PROTECTIVE LIFE INS. C,800-866-9933,California,6300,44
16068,04092021 18:23:58,37.99,4102021,372000000000,COOPERS HAWK WINE C D,708-215-5674,New York,5812,18
37466,02132021 11:57:18,6.48,2152021,372000000000,AMZN DIGITAL*AV7XD8JT3,888-802-3080,Ohio,5818,76
28226,03082021 01:54:58,10.8,3092021,372000000000,AMZN MKTP US,AMZN.COM/BILL,Pennsylvania,5942,41
15971,03252021 14:46:31,16.4,3272021,372000000000,AMZN MKTP US,AMZN.COM/BILL,Pennsylvania,5942,7
37466,02192021 08:31:23,17.95,2232021,372000000000,AMZN MKTP US,AMZN.COM/BILL,Ohio,5942,82
33717,03182021 08:29:27,170.95,3192021,372000000000,AMZN MKTP US,AMZN.COM/BILL,California,5942,82
28226,03132021 12:20:30,18.39,3152021,372000000000,AMZN MKTP US,AMZN.COM/BILL,Pennsylvania,5942,51
28226,03262021 14:50:27,22.72,3272021,372000000000,AMZN MKTP US,AMZN.COM/BILL,Pennsylvania,5942,68
26669,03302021 02:43:55,7.57,4012021,372000000000,AMZN MKTP US,AMZN.COM/BILL,Ohio,5942,1
33717,03162021 12:40:38,74.89,3172021,372000000000,AMZN MKTP US,AMZN.COM/BILL,California,5942,81
28226,03062021 17:51:13,8.91,3082021,372000000000,AMZN MKTP US,AMZN.COM/BILL,Pennsylvania,5942,38
13986,04052021 09:46:20,1,4052021,372000000000,Amazon.com*,AMZN.COM/BILL,Oregon,5942,2
28226,03032021 18:40:52,12.85,3052021,372000000000,Amazon.com*,AMZN.COM/BILL,Pennsylvania,5942,35
28226,03182021 05:49:19,20.56,3192021,372000000000,Amazon.com*,AMZN.COM/BILL,Pennsylvania,5942,58
15971,03252021 12:56:53,33.28,3262021,372000000000,Amazon.com*,AMZN.COM/BILL,Pennsylvania,5942,5
28226,03132021 12:07:55,7.57,3152021,372000000000,Amazon.com*,AMZN.COM/BILL,Pennsylvania,5942,50
19485,01172021 21:51:33,9.24,1192021,372000000000,Amazon.com*,AMZN.COM/BILL,California,5942,6
15451,04092021 04:31:24,9.11,4102021,372000000000,Amazon.com*,AMZN.COM/BILL,California,5411,2
26607,01272021 09:34:44,61.11,1272021,372000000000,WWW.LUCKYSCENT.COM,323-931-8297,Michigan,5977,21
31010,04092021 19:00:46,40,4102021,372000000000,LAS MARGARITAS,ATLATNA,New York,5814,2
25770,03302021 09:06:33,14.5,3312021,372000000000,CHOICE JUICERY,CARLSBAD,New Jersey,5814,49
14328,04032021 13:45:20,11.1,4052021,372000000000,TAQUERIA VALLARTA # 2,SANTA CRUZ,Wisconsin,5812,3
38829,02172021 10:58:31,350,2182021,372000000000,COMMODITY SYSTEMS INC,561-392-8663,Ohio,5045,64
22824,03062021 13:45:04,21.68,3082021,372000000000,CHEESECAKE SUGAR LAND,SUGAR LAND,Arizona,5812,6
31593,04062021 18:35:03,162.29,4072021,372000000000,CHEESECAKE THE WOODLAN,THE WOODLANDS,Kansas,5812,22
37639,03282021 09:58:55,41.43,3292021,372000000000,CHEESECAKE BAY SHORE,BAY SHORE,New Jersey,5812,2
33717,02272021 12:09:35,6,3012021,372000000000,DELNOR WIGGINS PAS ST,NAPLES,California,9399,33
25770,04082021 22:43:34,29.24,4102021,373000000000,MELLOW MUSHROOM,MESA,New Jersey,5812,92
25770,04012021 23:36:07,41.26,4032021,373000000000,MELLOW MUSHROOM,MESA,New Jersey,5812,64
33653,03212021 11:55:13,51.21,3222021,373000000000,ZAIQA RESTAURANT,HERCULES,Rhode Island,5812,3
31452,03222021 14:06:32,105,3232021,373000000000,MILANO NAIL SPA,PEARLAND,Tennessee,7230,50
31452,02092021 12:01:17,88,2102021,373000000000,MILANO NAIL SPA,PEARLAND,Tennessee,7230,12
31452,03082021 10:49:42,90,3092021,373000000000,MILANO NAIL SPA,PEARLAND,Tennessee,7230,34
25770,03232021 12:27:54,29.05,3242021,373000000000,NOODLES & CO 596,PHOENIX,New Jersey,5812,19
37096,03202021 19:00:24,20.16,3222021,373000000000,OLIVE GARDEN 100018333,BLUE SPRINGS,New Jersey,5812,2
22969,04042021 16:42:41,45.14,4062021,373000000000,LONGHORN STEAK 0125424,DEPTFORD,North Carolina,5812,2
33452,04052021 11:18:26,10.78,4062021,373000000000,MARISCOS EL PRIETO,CHULA VISTA,New Jersey,5814,7
30483,03172021 22:59:11,68.91,3182021,373000000000,PIZZERIA 88,SEATTLE,South Carolina,5812,1
18054,02062021 14:43:41,49.97,2082021,373000000000,GODAVARI,HOUSTON,South Dakota,5812,16
36717,04062021 12:11:28,57.1,4072021,373000000000,CHEESECAKE BAYBROOK,FRIENDSWOOD,Illinois,5812,39
28226,03112021 17:22:15,32.48,3122021,373000000000,KFC C521016,HOUSTON,Pennsylvania,5814,47
37226,02152021 14:02:20,7.32,2162021,373000000000,SALAD AND GO,PHOENIX,New York,5814,46
37226,02102021 12:06:44,7.32,2112021,373000000000,SALAD AND GO,PHOENIX,New York,5814,39
37226,03012021 12:37:20,7.32,3022021,373000000000,SALAD AND GO,PHOENIX,New York,5814,59
37226,02182021 11:29:03,7.32,2192021,373000000000,SALAD AND GO,PHOENIX,New York,5814,51
37226,03262021 11:57:29,7.32,3272021,373000000000,SALAD AND GO,PHOENIX,New York,5814,73
25770,04052021 09:06:41,12.41,4062021,373000000000,SALAD AND GO,CHANDLER,New Jersey,5814,73
18054,03232021 12:22:27,71.38,3242021,374000000000,BIRYANI-N-GRILL,HOUSTON,South Dakota,5812,35
18054,03212021 19:25:44,81.25,3222021,374000000000,BIRYANI-N-GRILL,HOUSTON,South Dakota,5812,34
18054,03282021 12:01:35,88.62,3292021,374000000000,BIRYANI-N-GRILL,HOUSTON,South Dakota,5812,42
33717,04062021 13:49:33,16.79,4072021,374000000000,SUGAR&SPICETHAIFOOD&MO,LOWER MERION,California,5812,109
29455,04022021 20:47:03,10,4052021,376000000000,ARROWHEAD PKWY LAUNDRO,SIOUX FALLS,Pennsylvania,7211,2
29455,03312021 09:04:13,13.5,4022021,376000000000,ARROWHEAD PKWY LAUNDRO,SIOUX FALLS,Pennsylvania,7211,1
36717,04072021 14:04:58,7.52,4082021,376000000000,JERSEY MIKES,PEARLAND,Illinois,5814,43
38206,03242021 17:24:34,5.97,3252021,385000000000,KUM&GO 0267 TIPTON,TIPTON,Alaska,5541,4
28064,04072021 16:48:35,2.05,4082021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,14
28064,04062021 11:58:35,2.1,4072021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,6
28064,04052021 19:01:48,2.2,4062021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,5
28064,04072021 19:02:28,2.45,4082021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,17
24029,04012021 12:23:34,3.5,4022021,390000000000,USA*CANTEEN VENDING,DALLAS,California,5999,12
28064,04072021 19:01:47,1.45,4082021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,16
28064,04072021 14:43:59,1.45,4082021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,13
28064,04072021 12:00:04,1.45,4082021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,11
28064,04062021 11:59:37,1.45,4072021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,7
28064,04052021 11:46:12,1.45,4062021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,1
28064,04062021 16:54:45,1.45,4072021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,10
28064,04082021 10:44:49,1.45,4092021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,18
28064,04072021 17:00:56,1.45,4082021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,15
28064,04092021 11:59:36,1.45,4102021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,22
28064,04052021 14:44:12,1.85,4062021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,3
28064,04062021 14:43:52,1.85,4072021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,9
28064,04072021 14:01:41,1.85,4082021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,12
28064,04082021 16:48:04,1.85,4092021,390000000000,USA*FIVE STAR FOOD VEN,KNOXVILLE,New Jersey,5814,20
